@relation car-gear

@attribute 'rpm' { 0,125,250,375,500,625,750,875,1000,1125,1250,1375,1500,1625,1750,1875,2000,2125,2250,2375,2500,2625,2750,2875,3000,3125,3250,3375,3500,3625,3750,3875,4000,4125,4250,4375,4500,4625,4750,4875,5000,5125,5250,5375,5500,5625,5750,5875,6000,6125,6250,6375 }
@attribute 'speed' { 0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90 }
@attribute 'throttle' { 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64 }
@attribute 'gear' { 0,1,2,3,4,5,6 }

@data
2625,69,16,6
2625,69,20,6
2625,72,20,6
2625,72,20,6
2625,72,23,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,25,6
2625,72,25,6
2625,72,25,6
2625,72,25,6
2625,72,25,6
2625,72,25,6
2625,72,25,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,22,6
2625,69,22,6
2625,69,22,6
2625,69,22,6
2625,69,22,6
2625,72,22,6
2625,72,22,6
2625,72,22,6
2625,72,22,6
2625,72,22,6
2625,72,22,6
2625,72,22,6
2625,72,22,6
2625,72,22,6
2625,72,22,6
2625,72,22,6
2625,72,22,6
2625,72,22,6
2625,72,22,6
2625,72,22,6
2625,72,25,6
2625,72,25,6
2625,72,25,6
2625,72,25,6
2625,72,25,6
2625,72,25,6
2625,72,25,6
2625,72,25,6
2625,72,25,6
2625,72,25,6
2750,72,30,6
2750,72,30,6
2750,72,30,6
2750,72,30,6
2750,72,30,6
2750,72,30,6
2750,72,30,6
2750,72,30,6
2750,72,30,6
2750,72,30,6
2750,72,30,6
2750,72,30,6
2750,72,30,6
2750,72,30,6
2750,72,29,6
2750,72,29,6
2750,72,29,6
2750,72,29,6
2750,72,29,6
2750,72,29,6
2750,72,29,6
2750,72,33,6
2750,72,33,6
2750,72,33,6
2750,72,33,6
2750,72,34,6
2750,72,34,6
2750,72,34,6
2750,72,28,6
2750,72,28,6
2750,72,28,6
2750,72,19,6
2750,72,19,6
2750,72,19,6
2750,72,19,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,18,6
2750,72,18,6
2750,72,18,6
2750,72,19,6
2750,72,19,6
2750,72,19,6
2750,72,19,6
2750,72,19,6
2750,72,19,6
2750,72,19,6
2750,72,19,6
2750,72,19,6
2750,72,19,6
2750,72,19,6
2750,72,17,6
2750,72,17,6
2625,72,17,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,17,6
2625,72,17,6
2625,72,17,6
2625,72,21,6
2625,69,21,6
2625,69,21,6
2625,69,21,6
2625,69,21,6
2625,72,21,6
2625,72,21,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,21,6
2625,69,21,6
2625,69,21,6
2625,69,21,6
2625,69,21,6
2625,69,21,6
2625,69,21,6
2625,69,23,6
2625,72,23,6
2625,72,23,6
2625,72,23,6
2625,72,23,6
2625,72,23,6
2625,72,23,6
2625,72,23,6
2625,72,23,6
2625,72,23,6
2625,72,25,6
2625,72,25,6
2625,72,25,6
2750,72,25,6
2750,72,25,6
2750,72,25,6
2750,72,25,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,24,6
2750,75,23,6
2750,75,23,6
2750,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,24,6
2875,78,24,6
2875,78,24,6
2875,78,24,6
2875,78,24,6
2875,75,24,6
2875,75,24,6
2875,75,23,6
2875,75,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,23,6
2875,78,22,6
2875,78,22,6
2875,78,22,6
2875,78,22,6
2875,78,23,6
2875,75,23,6
2875,75,23,6
2875,75,22,6
2875,78,22,6
2875,78,22,6
2875,78,22,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,78,22,6
2875,78,22,6
2875,78,22,6
2875,75,22,6
2875,75,22,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,21,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,23,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,26,6
2875,75,26,6
2875,75,26,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,25,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,24,6
2875,75,22,6
2875,75,22,6
2875,75,22,6
2750,75,16,6
2750,75,16,6
2750,75,16,6
2750,75,16,6
2750,75,16,6
2750,75,16,6
2875,75,16,6
2875,75,16,6
2875,75,16,6
2875,75,16,6
2750,75,18,6
2750,75,18,6
2750,75,18,6
2750,75,18,6
2750,75,19,6
2750,75,19,6
2750,75,19,6
2750,75,21,6
2750,72,21,6
2750,72,21,6
2750,72,21,6
2750,72,21,6
2750,75,21,6
2750,75,21,6
2750,75,20,6
2750,72,20,6
2750,72,20,6
2750,72,18,6
2750,72,18,6
2750,72,18,6
2750,72,18,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,17,6
2750,72,17,6
2750,72,17,6
2750,72,18,6
2750,72,18,6
2750,72,18,6
2750,72,18,6
2750,72,18,6
2750,72,18,6
2750,72,18,6
2750,72,22,6
2750,72,22,6
2750,72,22,6
2750,72,23,6
2750,72,23,6
2750,72,23,6
2750,72,25,6
2750,72,25,6
2750,72,25,6
2750,72,25,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,23,6
2750,72,23,6
2750,72,23,6
2750,72,23,6
2750,72,23,6
2750,72,23,6
2750,72,23,6
2750,72,23,6
2750,72,23,6
2750,72,23,6
2750,72,23,6
2750,72,23,6
2750,72,23,6
2750,72,23,6
2750,72,25,6
2750,72,25,6
2750,72,25,6
2750,72,26,6
2750,72,26,6
2750,72,26,6
2750,72,26,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,24,6
2750,72,22,6
2750,72,22,6
2750,72,22,6
2750,72,18,6
2750,72,18,6
2750,72,18,6
2750,72,18,6
2625,72,16,6
2625,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2750,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,15,6
2625,69,15,6
2625,69,15,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,22,6
2625,69,22,6
2625,69,22,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,21,6
2625,69,21,6
2625,69,21,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2500,69,18,6
2500,69,15,6
2500,69,15,6
2500,69,15,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,69,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,25,6
2500,66,25,6
2500,66,25,6
2500,66,25,6
2500,66,25,6
2500,66,25,6
2500,66,25,6
2500,66,25,6
2500,66,25,6
2500,66,25,6
2500,66,25,6
2500,66,24,6
2500,66,24,6
2500,66,24,6
2500,66,24,6
2500,66,24,6
2500,66,24,6
2500,66,24,6
2500,66,24,6
2500,66,24,6
2500,66,24,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,20,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,22,6
2500,66,25,6
2500,66,25,6
2500,66,25,6
2500,66,28,6
2500,66,28,6
2500,66,28,6
2500,66,29,6
2500,66,29,6
2500,66,29,6
2500,66,29,6
2500,66,29,6
2500,66,29,6
2500,66,29,6
2500,66,29,6
2500,66,29,6
2500,66,29,6
2500,66,29,6
2500,66,33,6
2500,66,33,6
2500,66,33,6
2500,66,33,6
2500,66,33,6
2500,66,33,6
2500,66,33,6
2500,66,33,6
2500,69,33,6
2500,69,33,6
2500,69,33,6
2500,69,33,6
2500,69,33,6
2500,69,33,6
2500,69,31,6
2500,69,31,6
2500,69,31,6
2500,69,31,6
2500,69,31,6
2500,69,31,6
2500,69,30,6
2500,69,30,6
2500,69,30,6
2500,69,30,6
2500,69,30,6
2500,69,30,6
2625,69,30,6
2625,69,30,6
2625,69,30,6
2625,69,30,6
2625,69,30,6
2625,69,30,6
2625,69,30,6
2625,69,29,6
2625,69,29,6
2625,69,29,6
2625,69,29,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,15,6
2625,69,15,6
2625,69,15,6
2500,69,15,6
2500,69,16,6
2500,69,16,6
2500,69,16,6
2625,69,16,6
2625,69,22,6
2625,69,22,6
2625,69,22,6
2625,69,23,6
2625,69,23,6
2625,69,23,6
2500,69,23,6
2500,69,23,6
2500,69,23,6
2625,69,23,6
2625,69,22,6
2625,69,22,6
2625,69,22,6
2625,69,22,6
2625,69,22,6
2625,69,22,6
2625,69,22,6
2625,69,22,6
2625,69,22,6
2625,69,22,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2500,69,18,6
2500,69,15,6
2500,69,15,6
2625,69,15,6
2625,69,15,6
2625,69,15,6
2625,69,15,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2500,69,16,6
2500,69,16,6
2500,69,16,6
2500,69,16,6
2500,69,16,6
2500,69,16,6
2500,69,16,6
2500,69,16,6
2500,69,16,6
2500,66,16,6
2500,66,16,6
2500,66,21,6
2500,69,21,6
2500,69,21,6
2500,69,20,6
2500,69,20,6
2500,66,20,6
2500,66,20,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,21,6
2500,66,24,6
2500,66,24,6
2500,66,24,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,24,6
2500,66,24,6
2500,66,24,6
2500,66,24,6
2500,66,24,6
2500,66,24,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,23,6
2500,66,24,6
2500,69,24,6
2500,69,24,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2500,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,27,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,26,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,25,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,69,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,24,6
2625,72,23,6
2625,72,23,6
2625,72,23,6
2625,72,23,6
2625,72,23,6
2625,72,23,6
2625,72,23,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,20,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,72,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,16,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,19,6
2625,69,19,6
2625,69,19,6
2625,69,19,6
2625,69,19,6
2625,69,19,6
2625,69,19,6
2625,69,19,6
2625,69,19,6
2625,69,19,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,20,6
2625,69,18,6
2625,69,18,6
2625,69,18,6
2625,69,15,6
2625,69,15,6
2625,69,15,6
2625,69,15,6
2625,69,15,6
2625,69,15,6
2500,69,15,6
2500,69,16,6
2500,69,16,6
2500,69,16,6
2500,69,16,6
2500,69,16,6
